"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Days in Trade","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2024-02-05","09:35:00",4950.44,"2 Feb 16 4860 P STO 13.10 | 2 Feb 16 5040 C STO 10.70 | 2 Feb 28 4860 P BTO 23.55 | 2 Feb 28 5040 C BTO 22.20",-2205,5019.43,"2024-02-16","09:41:00",11,-3380,"Below Short/Long Ratio",2329.52,52.82358276643991,2,113536.6,4410,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.52,0.098,-1.42,-6.75,58.05,-8.16
"2024-01-29","09:35:00",4894.44,"2 Feb 9 4805 P STO 13.10 | 2 Feb 9 4990 C STO 11.10 | 2 Feb 21 4805 P BTO 23.10 | 2 Feb 21 4990 C BTO 21.80",-2080,5002.4,"2024-02-09","09:32:00",11,-2930,"Below Delta",1679.52,40.37307692307692,2,111207.08,4160,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.539,0.369,1.98,1.49,42.55,-2.88
"2024-01-22","09:35:00",4863.28,"2 Feb 2 4775 P STO 12.60 | 2 Feb 2 4960 C STO 10.65 | 2 Feb 14 4775 P BTO 23.65 | 2 Feb 14 4960 C BTO 21.75",-2225,4868.46,"2024-02-01","09:34:00",10,-2450,"Below Short/Long Ratio",429.52,9.652134831460673,2,109527.56,4450,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.512,0.099,13.61,9.86,15.73,-14.61
"2023-12-11","09:35:00",4599.24,"3 Dec 22 4525 P STO 12.00 | 3 Dec 22 4690 C STO 9.30 | 3 Jan 3 4525 P BTO 19.95 | 3 Jan 3 4690 C BTO 18.80",-1755,4734.82,"2023-12-14","09:32:00",3,-1765,"Below Delta",-0.72,-0.013675213675213673,3,109098.04,5265,"SPX","*SPX DC--11/23--Daily--v2.1.1",21.36,9.36,0.55,0.781,-10.98,5.85,22.51,-3.7
"2023-12-04","09:35:00",4566.96,"3 Dec 15 4480 P STO 12.30 | 3 Dec 15 4655 C STO 11.30 | 3 Dec 27 4480 P BTO 20.20 | 3 Dec 27 4655 C BTO 20.75",-1745,4672.83,"2023-12-13","14:06:00",9,-1960,"Below Delta",614.28,11.734097421203437,3,109098.76,5235,"SPX","*SPX DC--11/23--Daily--v2.1.1",21.36,9.36,0.576,0.614,-30.26,2.59,16.91,-8.6
"2023-07-31","10:03:00",4580.55,"2 Aug 11 4500 P STO 11.75 | 2 Aug 11 4660 C STO 11.25 | 2 Aug 23 4500 P BTO 23.30 | 2 Aug 23 4660 C BTO 21.35",-2175,4471.71,"2023-08-08","10:12:00",8,-2050,"Above Delta",-270.48,-6.217931034482759,2,108484.48,4350,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.515,0.673,2.59,-4.27,9.89,-10.8
"2023-07-24","09:35:00",4555.8,"2 Aug 4 4475 P STO 12.40 | 2 Aug 4 4640 C STO 10.45 | 2 Aug 16 4475 P BTO 23.05 | 2 Aug 16 4640 C BTO 20.85",-2115,4521.09,"2023-08-04","09:32:00",11,-2305,"Below Short/Long Ratio",359.52,8.499290780141845,2,108754.96,4230,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.521,0.039,7.05,12.41,35.22,-4.26
"2023-07-17","09:35:00",4507.92,"2 Jul 28 4425 P STO 11.75 | 2 Jul 28 4595 C STO 9.55 | 2 Aug 9 4425 P BTO 21.65 | 2 Aug 9 4595 C BTO 19.55",-2000,4605.2,"2023-07-27","09:35:00",10,-2735,"Below Delta",1449.52,36.238,2,108395.44,4000,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.517,0.417,3.44,-0.94,37.25,-1.5
"2023-06-12","09:35:00",4310.25,"2 Jun 23 4225 P STO 11.60 | 2 Jun 23 4390 C STO 10.15 | 2 Jul 5 4225 P BTO 21.05 | 2 Jul 5 4390 C BTO 19.40",-1880,4415.54,"2023-06-15","13:46:00",3,-2300,"Below Delta",819.52,21.795744680851065,2,106945.92,3760,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.538,0.678,9.46,1.93,29.26,-3.19
"2023-06-05","09:35:00",4288.94,"2 Jun 16 4200 P STO 12.55 | 2 Jun 16 4375 C STO 10.70 | 2 Jun 28 4200 P BTO 22.55 | 2 Jun 28 4375 C BTO 19.90",-1930,4390.65,"2023-06-15","10:03:00",10,-2570,"Below Delta",1259.52,32.6300518134715,2,106126.4,3860,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.548,0.514,0.62,5.95,37.56,-18.65
"2023-05-01","09:35:00",4169.59,"2 May 12 4070 P STO 14.60 | 2 May 12 4260 C STO 9.25 | 2 May 24 4070 P BTO 26.35 | 2 May 24 4260 C BTO 18.00",-2060,4141.95,"2023-05-10","15:25:00",9,-2045,"Below Short/Long Ratio",-50.48,-1.225242718446602,2,104866.88,4120,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.538,0.097,-2.69,2.8,25.97,-19.17
"2023-04-24","09:35:00",4136.44,"2 May 5 4030 P STO 16.35 | 2 May 5 4230 C STO 10.35 | 2 May 17 4030 P BTO 29.20 | 2 May 17 4230 C BTO 20.60",-2320,4104.04,"2023-05-05","09:32:00",11,-2515,"Below Short/Long Ratio",369.52,7.963793103448276,2,104917.36,4640,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.536,0.025,-1.45,4.37,55.6,-10.56
"2023-04-03","09:35:00",4109.31,"1 Apr 14 3995 P STO 16.65 | 1 Apr 14 4210 C STO 12.45 | 1 Apr 26 3995 P BTO 30.10 | 1 Apr 26 4225 C BTO 21.25",-2235,4111.26,"2023-04-12","11:46:00",9,-1975,"Below Short/Long Ratio",-270.24,-12.091275167785236,1,104547.84,3735,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.567,0.098,-7.11,7.11,6.71,-13.2
"2023-02-06","09:35:00",4118.92,"2 Feb 17 3990 P STO 17.85 | 2 Feb 17 4235 C STO 14.35 | 2 Mar 1 3990 P BTO 29.10 | 2 Mar 1 4235 C BTO 24.20",-2120,4121.57,"2023-02-15","10:21:00",9,-2145,"Below Short/Long Ratio",29.52,0.6962264150943396,2,104818.08,4240,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.604,0.098,-16.91,-0.65,22.88,-9.67
"2023-01-30","09:35:00",4044.04,"1 Feb 10 3920 P STO 17.75 | 1 Feb 10 4160 C STO 14.65 | 1 Feb 22 3920 P BTO 32.20 | 1 Feb 22 4160 C BTO 26.75",-2665,4112.91,"2023-02-09","12:37:00",10,-4255,"Below Short/Long Ratio",1579.76,59.2780487804878,1,104788.56,2665,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.55,0.094,-21.29,-5.23,65.29,-4.88
"2023-01-23","11:05:00",4023.51,"1 Feb 3 3895 P STO 18.55 | 1 Feb 3 4150 C STO 14.05 | 1 Feb 15 3895 P BTO 32.55 | 1 Feb 15 4150 C BTO 26.50",-2655,4176.02,"2023-02-02","10:41:00",10,-3130,"Below Delta",464.76,17.505084745762712,1,103208.8,2655,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.552,0.58,5.53,45.37,24.67,-8.1
"2022-12-05","09:37:00",4051.47,"2 Dec 16 3915 P STO 20.40 | 2 Dec 16 4185 C STO 16.30 | 2 Dec 28 3915 P BTO 29.40 | 2 Dec 28 4190 C BTO 22.30",-1510,3889.43,"2022-12-15","11:50:00",10,-2620,"Above Delta",2199.52,72.8317880794702,2,102744.04,4020,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.71,0.607,-19.68,-0.55,83.11,-22.19
"2022-08-15","09:35:00",4263.09,"1 Aug 26 4140 P STO 17.15 | 1 Aug 26 4370 C STO 13.80 | 1 Sep 7 4140 P BTO 34.55 | 1 Sep 7 4375 C BTO 27.00",-3070,4198.8,"2022-08-26","10:10:00",11,-3365,"Below Short/Long Ratio",284.76,9.27557003257329,1,100544.52,3570,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.503,0.061,-10.78,-6.28,24.76,-4.23
"2022-08-01","09:35:00",4101.41,"1 Aug 12 3965 P STO 18.95 | 1 Aug 12 4220 C STO 15.15 | 1 Aug 24 3965 P BTO 37.35 | 1 Aug 24 4220 C BTO 30.00",-3335,4240.46,"2022-08-11","09:48:00",10,-3605,"Below Delta",259.76,7.788905547226387,1,100259.76,3335,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.506,0.475,-17.91,-10.97,10.64,-4.8
