"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Days in Trade","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2025-06-24","13:15:00",6091.93,"4 Jun 24 6090 P STO 5.70 | 4 Jun 24 6085 P BTO 4.05",155,6092.18,"2025-06-24","16:00:00",0,0,"Expired",610.24,98.42580645161291,4,142312.04,1380,"SPX","*SPX--PCS--0DTE--Daily",9.76,1.407,1,36.04,30.72,100,-45.16
"2025-06-16","13:15:00",6031.32,"4 Jun 16 6030 P STO 7.50 | 4 Jun 16 6025 P BTO 5.70",170,6033.11,"2025-06-16","16:00:00",0,0,"Expired",670.24,98.56470588235294,4,141701.8,1320,"SPX","*SPX--PCS--0DTE--Daily",9.76,1.316,3,27.03,27.32,100,-79.41
"2025-06-12","13:15:00",6040.35,"4 Jun 12 6040 P STO 7.45 | 4 Jun 12 6035 P BTO 5.60",175,6045.26,"2025-06-12","16:00:00",0,0,"Expired",690.24,98.60571428571428,4,141031.56,1300,"SPX","*SPX--PCS--0DTE--Daily",9.76,1.33,1,-12.34,30.45,100,-82.86
"2025-06-10","13:15:00",6034.15,"4 Jun 10 6030 P STO 5.35 | 4 Jun 10 6025 P BTO 3.70",155,6038.81,"2025-06-10","16:00:00",0,0,"Expired",610.24,98.42580645161291,4,140341.32,1380,"SPX","*SPX--PCS--0DTE--Daily",9.76,1.446,1,4.03,24.24,100,-151.61
"2025-06-03","13:15:00",5978.19,"3 Jun 3 5975 P STO 5.15 | 3 Jun 3 5970 P BTO 3.65",140,5970.37,"2025-06-03","16:00:00",0,463,"Expired",-976.32,-232.45714285714288,3,139731.08,1080,"SPX","*SPX--PCS--0DTE--Daily",7.32,1.411,23.25,2.62,39.63,32.14,-230.71
"2025-05-27","13:15:00",5912.18,"4 May 27 5910 P STO 6.95 | 4 May 27 5905 P BTO 5.20",165,5921.54,"2025-05-27","16:00:00",0,0,"Expired",650.24,98.52121212121212,4,140707.4,1340,"SPX","*SPX--PCS--0DTE--Daily",9.76,1.337,1,51.25,58.11,100,-6.06
"2025-05-19","13:15:00",5967.12,"4 May 19 5965 P STO 7.50 | 4 May 19 5960 P BTO 5.50",190,5963.6,"2025-05-19","16:00:00",0,140,"Expired",190.24,25.03157894736842,4,140057.16,1240,"SPX","*SPX--PCS--0DTE--Daily",9.76,1.364,34,-55.5,64.24,26.32,-144.74
"2025-05-15","13:15:00",5917.87,"4 May 15 5915 P STO 7.45 | 4 May 15 5910 P BTO 5.55",180,5916.93,"2025-05-15","16:00:00",0,0,"Expired",710.24,98.64444444444445,4,139866.92,1280,"SPX","*SPX--PCS--0DTE--Daily",9.76,1.342,4.5,-22.76,48.05,100,-127.78
"2025-05-13","13:15:00",5893.8,"4 May 13 5890 P STO 6.15 | 4 May 13 5885 P BTO 4.45",160,5886.55,"2025-05-13","16:00:00",0,345,"Expired",-749.76,-117.15,4,139156.68,1360,"SPX","*SPX--PCS--0DTE--Daily",9.76,1.382,67,9.96,39.65,84.38,-115.62
"2025-05-12","13:15:00",5834.71,"4 May 12 5830 P STO 8.55 | 4 May 12 5825 P BTO 6.75",170,5844.19,"2025-05-12","16:00:00",0,0,"Expired",670.24,98.56470588235294,4,139906.44,1320,"SPX","*SPX--PCS--0DTE--Daily",9.76,1.267,1,147.29,27.51,100,-58.82
